Trial,stance_freq,swing_freq,a_param,lambda_cpl,A_front,A_back,A_hip,Time_Duration,Straight_line_distance,Average_Forward_Speed,Average_Lateral_Deviation,Total_Energy_Consumed,Cost_of_Transport,Total_COM_Displacement,Average_Frequency
62,0.790944961,5.190248458,10.50041194,0.311587696,1.651032653,1.571003497,1.068387587,20,0.169937225,0.004907552,0.051372919,46.73038306,31.13379475,0.169937225,1.535593443
63,2.620464478,4.831153792,6.803797668,0.716899233,0.554887377,1.995946486,1.962960259,20,0.048033529,0.002348987,0.10011711,101.9723879,240.3584152,0.048033529,3.495918487
64,4.545709679,1.424069765,19.96789278,0.110693949,1.008660767,1.451512098,1.273636784,20,0.192571812,0.004203722,0.064796975,49.52269014,29.11606966,0.192571812,2.180657871
65,3.825560906,3.196296556,9.646252216,0.233293344,1.233109069,0.03755553,1.919783144,20,0.091459535,0.004359447,0.008166639,63.07206465,78.07811131,0.091459535,3.483862827
66,4.135011471,5.638756934,7.341773956,0.295032047,1.486765867,0.436763727,1.413404034,20,0.078605026,0.000386199,0.038610282,62.90435484,90.60488967,0.078605026,4.786249071
67,5.152896709,3.936043069,18.60006024,0.683097729,0.032907667,0.384253725,0.665697581,20,0.184672582,-0.001816766,0.044090102,7.479297802,4.585425511,0.184672582,4.458820281
68,2.21335522,3.382834842,5.077536599,0.421070642,1.403265135,1.373371649,0.470903863,20,0.328200768,0.002038467,0.1406225,48.95114006,16.88668714,0.328200768,2.713862889
69,1.688768045,4.551972934,5.629289165,0.477520343,1.554386319,1.502411709,0.318540763,20,0.198625587,-0.006269005,0.116735025,54.73959721,31.20237434,0.198625587,2.57435722
70,5.271811972,1.378582101,15.15388886,0.77882044,0.241565832,1.613431777,0.120398302,20,0.418463215,0.020534013,0.057012399,27.7480123,7.507508462,0.418463215,2.319614971
71,2.521908217,2.040413223,14.30976231,0.376224738,0.692498813,0.137266602,0.867221552,20,0.032182885,-0.001381878,0.005022373,12.09572714,42.5528108,0.032182885,2.252649988
72,0.055264749,0.638231238,13.92356749,0.442903658,0.743491708,0.973251617,1.496449997,20,0.041608352,0.002053039,0.000939737,1.329774286,3.618417354,0.041608352,0.090144298
73,3.70410245,2.4082954,18.34136108,0.053263849,0.199938681,1.038654364,0.691237593,20,0.050875583,0.001736444,0.051675613,18.95695769,42.18717895,0.050875583,2.931076062
74,3.413007781,0.015264683,8.836325093,0.333704632,0.920821671,1.811783199,0.189516034,20,0.021092358,-0.000497491,0.002571221,0.341528111,1.833253695,0.021092358,0.01568708
75,4.918980269,3.785305338,8.070980534,0.239040064,1.124014047,1.698192902,0.382790567,20,0.404486826,0.018522203,0.085934336,65.91048641,18.44893812,0.404486826,4.288564207
76,0.50164486,5.289358799,6.446868974,0.137854148,1.914753579,1.303525112,1.59618276,20,0.144602641,0.007211949,0.007359638,43.06166735,33.71598521,0.144602641,1.153945149
77,5.599450959,4.760968096,16.32916241,0.502396219,0.940684781,0.834633266,0.569682679,20,0.162874028,0.008058005,0.018894429,28.68232418,19.93809879,0.162874028,5.154224198
78,2.866601391,1.62824902,17.33135125,0.906878182,0.106734183,1.760396408,1.817502201,20,0.165885882,0.007224098,0.038026524,53.15908811,36.28184274,0.165885882,2.134720252
79,0.899728559,0.461844846,15.65134326,0.566476244,0.864062298,0.790064113,1.185757658,20,0.020537766,-0.00027227,0.0012874,2.910940587,16.04727794,0.020537766,0.581016363
80,0.359357079,0.990206884,12.8913943,0.946635088,0.340928323,1.910033079,1.04223968,20,0.023189999,0.001065401,0.001460582,0.842105595,4.111374747,0.023189999,0.779921792
81,5.716651653,5.463931643,14.60736302,0.801968064,1.841619997,1.086215053,1.243891066,20,0.454844589,0.022571367,0.031459493,86.79209068,21.60420835,0.454844589,5.586364868
82,1.43519964,2.953870219,19.06449314,0.083163158,0.618310398,0.097667132,1.64559191,20,0.120917855,-0.00598075,0.004006353,27.29752665,25.55960301,0.120917855,1.949538483
83,1.90113962,2.789909917,12.47850372,0.649001222,1.701521702,0.277790845,1.798658492,20,0.299800827,0.014787706,0.013010538,55.43821889,20.93619147,0.299800827,2.271315473
84,1.088623238,1.101872579,16.70100143,0.742347379,1.365017293,0.695797452,0.767214408,20,0.054352863,0.002594775,0.005784422,7.471284835,15.56302821,0.054352863,1.095761675
85,4.6769586,4.350374557,10.22369329,0.177587106,0.453925815,0.867308861,1.683569368,20,0.336117438,-0.008589625,0.113034799,56.11189357,18.9010147,0.336117438,4.507852161
86,2.008933747,2.341210726,11.77825356,0.024618715,0.330220559,0.532221544,1.383550144,20,0.206819111,-0.008373617,0.039741834,24.78539084,13.5683283,0.206819111,2.153692544
